id,name_ja,item_id,texture_key,texture_file,source_file,source_origin,selection_note,texture_sha256,source_sha256
R15,オオミノアカヤマタケ,pinene:r_mushroom_r15,pinene_myco_r15,textures_32x32/r15.png,sources_original/r15.png,鮮やかな赤いキノコのピクセルアート.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,c8270664157e6212314fb855fda721412e27892838bd7b531e8c0d5cd1fc19f7,46c5a0a32499bd35879aa2b9111e1ccbb8d53f24a8c6fc288229effa7d2732ac
B01,シイタケ,pinene:b_mushroom_b01,pinene_myco_b01,textures_32x32/b01.png,sources_original/b01.png,ドット絵のしいたけアイコン.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,04be6db0acb7757fc8aaeb95f7a63b7c5d4a7d7e7054b38fc6554229191d8cef,5b0e81baf0f534f656088078564a603da9eff00efeed6d89b2358102fcf534f9
B02,ブナシメジ,pinene:b_mushroom_b02,pinene_myco_b02,textures_32x32/b02.png,sources_original/b02.png,ドット絵の茶色いしめじ群生.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,e04191c47469ed41b08f845f35c107440487b9029f83b21f081e31ac04fa5be7,645f357e512611299473e7941454483cbb880ce50b22378be6ef8f2a656ae700
B03,ヒラタケ,pinene:b_mushroom_b03,pinene_myco_b03,textures_32x32/b03.png,sources_original/b03.png,ドット絵のヒラタケの房.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,176151d0744e3213d6e0c5f32785bc97d0312db6ab7153e85ee4b2200d25efca,0f2e57782803bfdcdd661cb376f9281cbc06af8efba7cc0304e852de22afccf4
B04,マイタケ,pinene:b_mushroom_b04,pinene_myco_b04,textures_32x32/b04.png,sources_original/b04.png,ドット絵の舞茸キノコクラスター.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,7a7b202e7c196478a28249587767573905e1d1b40436293631fb8324726acda7,9a10086fe68ae30e16d4cdf8e55a953063488a1afaa42502607cfe518e2b8f41
B05,ナメコ,pinene:b_mushroom_b05,pinene_myco_b05,textures_32x32/b05.png,sources_original/b05.png,光沢あるナメコのドット絵クラスター.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,5e45e69bc62f7e1aae90daba6d2a86214fc4454856cdc6ffdca6d4efb8d0d7ae,a54cd7b51844767c97e79994e8b6d956e4e33e5d9c57e3caf827adf0ef1fef0d
B06,ホコリタケ,pinene:b_mushroom_b06,pinene_myco_b06,textures_32x32/b06.png,sources_original/b06.png,斑点模ふうきんたけの群生.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,0295f33f96c7a79161d0293477a3bf2ecb25cc74cfe1e6b45728657d34d6d4cc,c2ef91aefeb7201db2dd2922033d21f7822f2f025cea79f5d0a7e52aa24a9120
B07,アカヤマドリ,pinene:b_mushroom_b07,pinene_myco_b07,textures_32x32/b07.png,sources_original/b07.png,赤茶色のドット絵キノコアイコン.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,1cebc0239aab54e3a1e6324a19936286e5afff93a7cc81a132a54cf1e9ae0779,9c9943ed79572375ad8c801324e0d2be175c3af49e39574cd1391ec290042efa
B08,カキシメジ,pinene:b_mushroom_b08,pinene_myco_b08,textures_32x32/b08.png,sources_original/b08.png,オレンジブラウンのキノコ群落.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,5a94e600ae9e22f8971e37a397b7639d87af49b92a8bb4f235b100e52d0eeab1,71925bac56049412fe563384290b64492001bc7c7a0d94bef4d1f7bc9bb52140
B09,ドクヤマドリ,pinene:b_mushroom_b09,pinene_myco_b09,textures_32x32/b09.png,sources_original/b09.png,マインクラフト風ドット絵の_porcini茸.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,ef50d6af00b184480788a04463d1f084dde0e5353bc0a20564c8c60b8800ed6c,7927b12008a820d295f5652539202c9e5254af6d72184e92c4e0a79fb7a4a5d3
B10,ツキヨタケ,pinene:b_mushroom_b10,pinene_myco_b10,textures_32x32/b10.png,sources_original/b10.png,ピクセルアートのキノコ群落.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,07a3ecb975c78803f6f0161a7c58d86fbded2195a3122f9560471b657a91cbe7,da32f4e353c2e66d912cba0b605e0f8bd013b168b21e12924f4b8fab54d2aeec
B11,ニセクロハツ,pinene:b_mushroom_b11,pinene_myco_b11,textures_32x32/b11.png,sources_original/b11.png,くぼんだ茶灰色のドット絵キノコ.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,775c41a6e413f3756a35d7a8af5a3289f484c59162be144bda104bce10928e90,561f0e7841f09f8112d389a19b722acc93c739d193b9e5f9105bfe832e68f08d
B12,コウタケ,pinene:b_mushroom_b12,pinene_myco_b12,textures_32x32/b12.png,sources_original/b12.png,野性味あふれるダークブラウンのキノコ.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,d6ddd20b52db5675ad7dff6faeddeadb6a78afda4a95a3be07e05af2b077afe4,364c209a364bd346caff690f36a95f9a7fefbdec9586386569247710c98f4325
B13,マツタケ,pinene:b_mushroom_b13,pinene_myco_b13,textures_32x32/b13.png,sources_original/b13.png,ドット絵の松茸アイコン.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,6d050f66c7e601e33c318d35b3569c53ae16a64e9a5d0d881867c2ad22221fc5,189e391fc21927cc12a161173e7ff612335efe86c0636571fcd8d65ad44e13a8
B14,ヤマドリタケ,pinene:b_mushroom_b14,pinene_myco_b14,textures_32x32/b14.png,sources_original/b14.png,ドット絵の大きなポルチーニ茸.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,613f4cd800a913e02a59c87449d64c32959a435334d9ad0ff8578cc34eb78f04,fca07ea1fe00f256f866fe0400fc1cde49e8b1085f634f481c6e4eb079b57a1a
B15,ムニンヒメサカズキタケ,pinene:b_mushroom_b15,pinene_myco_b15,textures_32x32/b15.png,sources_original/b15.png,小さな茶色いカップ菌のペア.png,OpenArt試行後、このチャットで10種ずつ描き直した個別画像。後発の誤ラベル一覧画像は不採用。,5ea07e282cf3a03c2d7b2a3aca1ae903a7e36c8d81b573146ad7d3c5bfb88af6,d138c41ce2e4d4051ecceebf9b0deadb5030ab4e6fd15e700fd378f80303510c
B16,ドクツルタケ,pinene:b_mushroom_b16,pinene_myco_b16,textures_32x32/b16.png,sources_original/b16.png,Pinene_Mycology_Codex_v1.3.0-handoff.zip::Pinene_Mycology_Codex_v1.3.0-handoff/reference/approved_mushroom_sources_v1.3/b16_dokutsurutake.png,ユーザーが「よし、これらの画像でCodexに投げよう」と指定した単体5種の元画像を維持。,36dcb4b2304ff17d4f79165a595e2762ba683f7300989c9a768915e59dbd0da2,38a7beb58fbec9c6b285d773ac8648a1b07fc354b6ff818e3458638768792a1e
B17,アミガサタケ,pinene:b_mushroom_b17,pinene_myco_b17,textures_32x32/b17.png,sources_original/b17.png,Pinene_Mycology_Codex_v1.3.0-handoff.zip::Pinene_Mycology_Codex_v1.3.0-handoff/reference/approved_mushroom_sources_v1.3/b17_amigasatake.png,ユーザーが「よし、これらの画像でCodexに投げよう」と指定した単体5種の元画像を維持。,7578de544e80a958830aa7dbdbddf685404c772f9db111aaaaf090b8a0878eb3,2e6a4a1b6f6a0371e68638717ad61b3dafbf4c005e45c2694a0ac8a0ab1ccfe3
B18,キヌガサタケ,pinene:b_mushroom_b18,pinene_myco_b18,textures_32x32/b18.png,sources_original/b18.png,Pinene_Mycology_Codex_v1.3.0-handoff.zip::Pinene_Mycology_Codex_v1.3.0-handoff/reference/approved_mushroom_sources_v1.3/b18_kinugasatake.png,ユーザーが「よし、これらの画像でCodexに投げよう」と指定した単体5種の元画像を維持。,46127ba035988d1881ccfff610fdcd49344a7703500ede8e6563b09e8a67f091,20478cb05d15491ac06001d8acefda89a4e02d5b68c21a640344ba669010b38b
B19,クサウラベニタケ,pinene:b_mushroom_b19,pinene_myco_b19,textures_32x32/b19.png,sources_original/b19.png,Pinene_Mycology_Codex_v1.3.0-handoff.zip::Pinene_Mycology_Codex_v1.3.0-handoff/reference/approved_mushroom_sources_v1.3/b19_kusaurabenitake.png,ユーザーが「よし、これらの画像でCodexに投げよう」と指定した単体5種の元画像を維持。,89778d7807f29c435a1f1066f9b5dbdfeda25072303d901b83cd040d68ae3783,a6b44a0c2b0c61e7ed9ffd948e963559156d9c39e97dc3abece30f6d428dbfb0
B20,ウラベニホテイシメジ,pinene:b_mushroom_b20,pinene_myco_b20,textures_32x32/b20.png,sources_original/b20.png,Pinene_Mycology_Codex_v1.3.0-handoff.zip::Pinene_Mycology_Codex_v1.3.0-handoff/reference/approved_mushroom_sources_v1.3/b20_urabenihoteishimeji.png,ユーザーが「よし、これらの画像でCodexに投げよう」と指定した単体5種の元画像を維持。,2ad4f8c8bb137011fc75df067c2a1563bef4aaa10f038efe63d5071bef210be5,3b01ec44842755a4bf0468e5f645cafe60d7db70a88de53a10c3ba7faff21c7b
